method,size,mean_time_s,std_time_s,success_rate,n_runs
Homotopy (logit tracing),2,0.04952115829413136,0.009793101474661826,1.0,12
Homotopy (logit tracing),3,0.06026403757277876,0.01054311692940322,1.0,8
Homotopy (logit tracing),4,0.08466162491822615,0.044973413460008875,1.0,8
Homotopy (logit tracing),5,0.07659017504192889,0.008382097610915587,1.0,8
Homotopy (logit tracing),6,0.09277198754716665,0.017645373179441492,1.0,8
Lemke-Howson,2,0.00055481664215525,0.00022629975444853453,1.0,12
Lemke-Howson,3,0.0004453251021914184,0.00014564488599300103,1.0,8
Lemke-Howson,4,0.0004998749936930835,0.00010545600384586941,1.0,8
Lemke-Howson,5,0.0005179750151000917,0.00015312836211579795,1.0,8
Lemke-Howson,6,0.0005744125228375196,0.00015319743219991972,1.0,8
Support Enumeration,2,0.0010478416612992685,0.00023659989883577473,1.0,12
Support Enumeration,3,0.004063299857079983,0.0006958235783175245,0.875,8
Support Enumeration,4,0.015645225008483976,0.001053801482526117,0.875,8
Support Enumeration,5,0.0713097124826163,0.0035961316635730193,0.875,8
Support Enumeration,6,0.31365833745803684,0.03433320442425523,0.875,8
